# treediff.py v1 (2026-09-10) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE: indent-0 declarations only, five forms (function C:M / function C.M / function G / local function f / [local] x = function). NOT COVERED: 8473 indented declarations (4883 in `hand` files, 3590 in `generated` — presetdiff.py reads the generated side at field level) and every anonymous `function(` literal. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=22139 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 441 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# FILES: the added and removed files (DLC/ excluded — the 305/36 of chain README §0 include 139 DLC adds; here that is 166 added and 36 removed).
# ⛔ THE METHOD RULE, MECHANISED. `names_still_in_110` is the PRESENCE SIDE for every removed file: how many of the names it declared are still declared SOMEWHERE in the 1.1.0 tree. A NONZERO COUNT SAYS 'MOVED', NOT 'GONE'. 21 of the 36 removed files have a nonzero count. ⛔ This is a HINT for a reader, not a verdict: a surviving name can be an unrelated homonym, and a zero count still only proves the NAME is gone, never the FEATURE (search for the capability — the preset, the UI string, the inheriting class).
path	status	bucket	declared_names	names_still_in_110	sample_of_surviving_names
CommonLua/ArtTest.lua	removed	hand	11	2	ArtTest.Start; OnMsg.ChangeMapDone
CommonLua/Classes/AutoAttachPlacement.lua	added	hand	2		
CommonLua/Classes/EnvColorPalette.lua	removed	hand	25	7	ApplyCurrentEnvColorizedToObj; EnvColorizedEvaluateCMs; EnvironmentColorEntry.GetEditorView; EnvironmentColorEntryBase.__eq; EnvironmentColorPalette.GetEditorView; EnvironmentTerrainColorEntry.GetEditorView; OnMsg.NewMap
CommonLua/Classes/Flight.lua	removed	hand	69	21	FlightObstacle.OnMoved; FlyingMovable.ClearPath; FlyingMovable.Face; FlyingMovable.GetFlying; FlyingMovable.GetPathHash; FlyingMovable.OnMoved; FlyingMovable.SetFlying; FlyingMovable.Step
CommonLua/Classes/LootDef.lua	added	hand	21		
CommonLua/Classes/MantisTaskTemplate.lua	added	hand	7		
CommonLua/Classes/Mod.lua	removed	hand	188	188	AddToModsAffectedResourcesCache; ApplyModOptions; AreModSignaturesRequired; AreModdingToolsActive; CacheModDependencyGraph; CanLoadUnpackedMods; CancelModOptions; CheckBlacklistedMods
CommonLua/Classes/ModItem.lua	removed	hand	166	165	CanAppendToTable; DefineModItemActionFX; DefineModItemPreset; DelayedLoadEntity; DoModItemChangePropTargetSameProp; DuplicateT; DuplicateTs; EditTypeItems
CommonLua/Classes/ModItemFolder.lua	removed	hand	6	6	GedOpAddModItemsToFolder; GedOpRelocateModItemToFolder; ModItemFolder.EditorItemsMenu; ModItemFolder.GetDiagnosticMessage; ModItemFolder.OnAfterEditorNew; ModItemFolder.__ForEachModItem
CommonLua/Classes/ModItemMap.lua	removed	hand	22	22	ModItemMapDataPreset.CanSaveMap; ModItemMapDataPreset.CopyPreset; ModItemMapDataPreset.CopyRelatedFiles; ModItemMapDataPreset.DeleteMapFolder; ModItemMapDataPreset.EditMap; ModItemMapDataPreset.GatherPropertiesBlacklisted; ModItemMapDataPreset.GetEditorMessage; ModItemMapDataPreset.GetFilesContents
CommonLua/Classes/ModItemSetpiece.lua	removed	hand	1	1	ModItemSetpiecePrg.TestModItem
CommonLua/Classes/ModsBackend.lua	removed	hand	33	33	GetModsBackendClass; IsModsBackendLoaded; ModsBackend.AttemptingLogin; ModsBackend.CanAuth; ModsBackend.CanFavorite; ModsBackend.CanFlag; ModsBackend.CanInstall; ModsBackend.CanRate
CommonLua/Classes/SkyObject.lua	added	hand	1		
CommonLua/Data/LightmodelFeaturePreset.lua	added	hand	0		
CommonLua/Features/GameSpeed.lua	added	hand	21		
CommonLua/Libs/DevToolsPublic/Connectivity.lua	added	hand	3		
CommonLua/Libs/DevToolsPublic/DumpAllMethods.lua	added	hand	9		
CommonLua/Libs/DevToolsPublic/FlightDebug.lua	removed	hand	27	4	FlyingObj.OnEditorSetProperty; OnMsg.DbgClear; OnMsg.LoadGame; OnMsg.SelectedObjChange
CommonLua/Libs/DevToolsPublic/LightmodelDebug.lua	added	hand	4		
CommonLua/Libs/Objectives/ClassDefs/ClassDef-Objectives.generated.lua	added	hand	35		
CommonLua/Libs/Objectives/Data/ClassDef-Objectives.lua	added	hand	0		
CommonLua/Libs/Objectives/Data/MsgDef.lua	added	hand	0		
CommonLua/Libs/Objectives/Data/__load.lua	added	hand	0		
CommonLua/Libs/Tutorial/ClassDefs/ClassDef-Tutorials.generated.lua	added	hand	29		
CommonLua/Libs/Tutorial/Classes/XDef/TutorialHintPopup.generated.lua	added	hand	4		
