id	old_group	old_position	old_SortKey	new_group	new_MapPos	new_Obsolete	old_line	new_line
3DMachining	Robotics	range(6, 10)	10	Industry_4	point(9100, 3072)		3793	4311
AdaptedProbes	Physics	range(1, 5)	5	Space_1	point(8730, 4992)		2846	8196
AdaptedVegetation	Terraforming	range(11, 15)	11	Terraforming_2	point(6066, 2944)		4606	10000
AdvancedDroneDrive	Breakthroughs		29	Breakthroughs	point(14428, 3584)		692	381
AdvancedGravityManeuvers	ReconAndExpansion	range(10, 13)	11	Space_3	point(8360, 5632)		3381	8654
AdvancedMartianEngines	Engineering	range(1, 5)	4	Space_1	point(8952, 4864)		2160	8222
AdvancedMicroGMiningOperations	ReconAndExpansion	range(14, 15)	14	Space_2	point(9026, 5504)		3428	8401
AdvancedPassengerModule	Engineering	range(14, 19)	16	Space_2	point(9100, 5632)		2413	8428
AlienDiggersDestruction	Mysteries	range(0, 2)	3	Mysteries	point(3994, 4736)		2545	6068
AlienDiggersDetection	Mysteries	range(0, 2)	4	Mysteries	point(2810, 5504)		2556	6144
AlienImprints	Breakthroughs		18	Breakthroughs	point(13984, 3584)		497	406
AncientArtifactAdaptedMachine	BuriedWonders			Mysteries	point(3106, 4736)		1399	6200
AncientTerraformingDevice	Breakthroughs			Breakthroughs	point(13984, 2816)		3	434
AnomalousGenomeResequencing	Storybits			Storybits	point(15242, 384)		1532	8929
Anti-Sphere Shield	Mysteries		7	Mysteries	point(3846, 5504)		2614	6282
Arcology	Engineering	range(13, 13)	13	Habitation_3	point(6362, 4224)		2343	2612
ArtificialMuscles	Breakthroughs		25	Breakthroughs	point(13540, 2304)		618	464
AtomicAccumulator	Physics	range(7, 9)	7	Hi-Tech_1	point(7620, 2816)		2877	2736
AutomatedStorage	Robotics	range(6, 10)	6	Industry_3	point(8360, 2816)		3685	4037
AutonomousHubs	Breakthroughs		54	Breakthroughs	point(12874, 2432)		1331	482
AutonomousSensors	Physics	range(1, 5)	2	Land	point(8286, 4480)		2795	4705
BatteryOptimization	Robotics	range(6, 10)	7	Logistics_1	point(9248, 4096)		3728	4976
BehavioralMelding	Social	range(15, 19)	19	Society_4	point(6658, 5504)		4382	8018
BehavioralShaping	Social	range(12, 14)	12	Society_4	point(7102, 5248)		4263	8042
BigStations	Engineering	range(6, 6)	21	Logistics_2	point(9766, 4224)		2493	5173
BiomeEngineering	Biotech	range(7, 10)	8	Society_1	point(7990, 4736)		1866	7550
BlackCubesDisposal	Mysteries	range(0, 2)	1	Mysteries	point(3846, 5504)		2506	6295
BlackCubesNegation	Mysteries	range(0, 2)	2	Mysteries	point(3994, 5504)		2529	6325
BottomlessPitResearchCenter	BuriedWonders			Mysteries	point(3106, 6272)		1413	6343
CO2JetPropulsion	Robotics	range(11, 11)	11	Logistics_3	point(9396, 4864)		3809	5358
CarbonateProcessor	Terraforming	range(11, 15)	12	Terraforming_2	point(5992, 2560)		4624	10031
CargobayOfHolding	Breakthroughs		1	Breakthroughs	point(14206, 2944)		95	528
CaveOfWondersDecorationBuilding	BuriedWonders			Mysteries	point(3328, 5376)		1433	6431
Cloning	Breakthroughs		43	Breakthroughs	point(14872, 2816)		966	563
CompactHangars	Robotics	range(16, 18)	16	Logistics_3	point(9692, 4864)		3960	5382
CompactPassengerModule	Engineering	range(6, 12)	6	Space_1	point(8878, 4736)		2193	8254
ConservationLandscaping	Terraforming	range(6, 9)	7	Terraforming_1	point(6510, 3456)		4539	9876
ConstructionNanites	Breakthroughs		1	Breakthroughs	point(14428, 2560)		122	579
CoreHeatConvertor	Terraforming	range(16, 20)	16	Terraforming_3	point(10284, 6144)		4693	10207
CoreMetals	Breakthroughs		13	Breakthroughs	point(14650, 2688)		410	595
CoreRareMetals	Breakthroughs		15	Breakthroughs	point(14650, 3200)		448	629
CoreWater	Breakthroughs		14	Breakthroughs	point(14650, 2944)		429	663
CreativeBiorobotics	Biotech	range(12, 19)	12	Society_2	point(7768, 5632)		1958	7755
CreativeDisposition	Social	range(12, 19)	13	Society_2	point(7620, 5632)		4276	7776
CreativeRealities	Physics	range(11, 14)	11	Society_2	point(7842, 5504)		2962	7800
CryoSleep	Breakthroughs		42	Breakthroughs	point(15094, 3200)		949	697
CrystallineFrequencyJamming	Mysteries		15	Mysteries	point(3846, 5504)		2706	6447
Cure4Cancer	Storybits			Storybits	point(15242, 896)		1540	8941
DecommissionProtocol	Engineering	range(1, 5)	2	Industry_1	point(8434, 3712)	true	2134	3606
DeepAsteroidMining	ReconAndExpansion	range(16, 19)	16	Space_2	point(9322, 5504)		3484	8464
DeepMetalExtraction	Physics	range(11, 18)	13	Industry_1	point(8952, 3584)		2990	3613
DeepScanning	Physics	range(10, 10)	10	Industry_2	point(9322, 3968)		2946	3934
DeepSpaceScanning	ReconAndExpansion	range(16, 19)	18	Space_2	point(8952, 5888)		3517	8493
DeepWaterExtraction	Physics	range(11, 18)	12	Industry_4	point(9248, 3072)		2975	4339
DefenseTower	Mysteries		11	Mysteries	point(3846, 5504)		2654	6467
DesignedForestation	Breakthroughs			Breakthroughs	point(14206, 2688)		23	722
DomeBioscaping	Biotech	range(7, 10)	9	Habitation_3	point(6510, 4224)		1888	2633
DomeStreamlining	Breakthroughs		45	Breakthroughs	point(14872, 2560)		994	739
DomelessFarming	Terraforming		14	Terraforming_2	point(6288, 3072)		4665	10053
DreamReality	Social	range(20, 20)	20	Society_4	point(6362, 5504)		4395	8066
DreamSimulation	Mysteries		9	Mysteries	point(3846, 5504)		2634	6483
