# 02 triage tags (vanillahunt link 02, smr-bugfixpack-b6, 2026-09-10) — working copy of 01's PRESETS.tsv; ⛔ 01's file is untouched, this file is the parent's; regenerate from the parent's scratch scripts, never hand-edit rows.
# presetdiff.py v1 (2026-09-10) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python presetdiff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# SCOPE: the `generated` bucket only — Data/, Lua/BuildingTemplate/, Lua/XDef/, Lua/ClassDefs/. DLC/ excluded.
# PRESETS: 1.0.7=14409  1.1.0=14986. Identity is `class::id::group` (how the GAME names a preset), with id-less presets keyed `class::file#ordinal`. Matched presets whose FILE moved: 0. Ambiguous ids needing a disambiguator: 1.0.7=1 1.1.0=0.
# ⭐ ROUTED TO 02, NOT READ HERE: the tech registry exists TWICE in 1.1.0 — 264 `TechPreset` in 1.0.7 became 274 `TechPreset` PLUS 441 `Tech`, and 258 of the 1.0.7 ids appear under both classes in the new tree. Mechanical count only; what it means is a reader's question.
# ⛔ REORDER IS NOT A ROW, BY CONSTRUCTION: rows are keyed by key PATH, so re-emitting a preset's keys in another order with equal values yields nothing. 0 presets are in exactly that state — COUNTED here so that `no rows` and `never looked` do not look alike.
# ROWS BY CHURN CLASS: COMMENT=1  REINDEX=10462  REINDEX-SWAP=1924  T-ID=22  added-preset=1471  none=22738  removed-preset=894   ⭐ `none` is the READABLE PILE — the rows 04's registry agents actually read.
# ⭐ THE GENERATED-LUA TWINS, so 04 can confirm they carry nothing extra: 1.1.0 files parsed per registry — Data=2191, Lua/BuildingTemplate=292, Lua/ClassDefs=7, Lua/XDef=426 | 1.0.7 — Data=2143, Lua/BuildingTemplate=288, Lua/ClassDefs=9, Lua/XDef=400
# ⚠️ CHURN CLASSES ARE CLAIMS. Each is a rule asserting a row is uninteresting; `python tools/presetdiff.py --sample <class>` prints rows so one can be falsified. A single row where a rule hid a real value change VOIDS that class.
# 02 COLUMNS: prid = P + 1-based data-row index of PRESETS.tsv. system = preset:<class>; link = 03 (dlc-adjacent) | 04-E (the registry agent) | NOT-READ(churn) for REINDEX / T-ID / COMMENT (rule-classed and sampled by 01, unread here — TRIAGE.md §4). ⭐ READ by a registry agent: `none` + `REINDEX-SWAP` (01: must be read where order is semantic) + `added-preset` + `removed-preset` (real content, not churn).
# 02 DLC TAG on presets: T1 literal on class:id + key + both values; T2 narrowed on id + key + values ONLY — never on the class name (a registry is not a mention). Literal matching of all 25 terms would tag 8,209 readable rows (all of TechPreset and LawDef by class name).
# 02 FIELD-REPORT TAGS (README §2b), column `fr`: FR-1(c) = `none`/`added-preset` rows of ParticleSystemPreset, LightmodelPreset, ActionFX*, *Entity* registries (assets first spawned at new game); FR-2 = id/key/value naming DeepScan / UndergroundDeepScanning / Deep* resources / depth_layer.
prid	file	class	id	key	value107	value110	churn-class	flags	system	link	dlc	dlc_terms	dlc_literal	fr
P00001	Data/Achievement.lua	Achievement	APieceOfMars	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00002	Data/Achievement.lua	Achievement	EarthsickColonistStays	msg_reactions[1].Handler	function ( self , colonist , status_effect , bApply , now ) if status_effect = = "StatusEffect_Earthsick" and not bApply then AchievementUnlock ( "EarthsickColonistStays" ) end end	function ( self , colonist , status_effect , bApply , now , explanation ) if status_effect = = "StatusEffect_Earthsick" and not bApply then AchievementUnlock ( "EarthsickColonistStays" ) end end	none		preset:Achievement	04-E				
P00003	Data/Achievement.lua	Achievement	FirstHarvest	msg_reactions[1].Handler	function ( self , bld , amount ) AchievementUnlock ( "FirstHarvest" ) end	function ( self , building , amount , resource ) AchievementUnlock ( "FirstHarvest" ) end	none		preset:Achievement	04-E				
P00004	Data/Achievement.lua	Achievement	GiveMeYourTired	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00005	Data/Achievement.lua	Achievement	Gotcha	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00006	Data/Achievement.lua	Achievement	Independent	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00007	Data/Achievement.lua	Achievement	IronFist	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00008	Data/Achievement.lua	Achievement	Opportunist	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00009	Data/Achievement.lua	Achievement	PlatinumTrophy	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00010	Data/Achievement.lua	Achievement	PoliticalAnimal	TODO	set("Review")	<absent>	none		preset:Achievement	03	dlc-adjacent	Animal	Animal	
P00011	Data/Achievement.lua	Achievement	TrulyIndependent	TODO	set("Review")	<absent>	none		preset:Achievement	04-E				
P00012	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-LCoLx_X	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00013	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-ZOfJ6tS	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00014	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-_IEMPPC	DetailLevel	60	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00015	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-khkkMQw	DetailLevel	40	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00016	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-o_I3NYu	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
P00017	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-o_I3NYu	AlwaysVisible	true	<absent>	none		preset:ActionFXParticles	04-E				FR-1(c)
P00018	Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0-Y7cy-p	AlwaysGatherForVisibility	<absent>	true	none		preset:ActionFXParticles	04-E				FR-1(c)
