# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# STORAGE: class (c), 'same concept, new home' — the shape that moved `Landscapes` GameVar->MapVar and the walk consts `const.`->`g_Consts`, and that NO instrument this project owns sees. Forms scanned: GlobalVar, MapVar, GameVar, PersistableGlobals, const, g_Consts.
# STATUS COUNTS: added=102 kind-changed=1 moved-file=9 removed=36 same=1007
# ⛔ PRESENCE SIDE, ENUMERATED: `GlobalVar("…")` has 0 declarations in 1.0.7 and 0 in 1.1.0 — the form exists in `CommonLua/Core/lib.lua` but the game declares through GameVar/MapVar. Zero is a MEASUREMENT here, not an omission.
# ⚠️ NOT NAMEABLE BY THIS TOOL: 1 dynamic declarations in 1.0.7 and 1 in 1.1.0 (`GameVar(modified_name, …)` — the name is a variable). They are storage this row set does not cover.
# ⚠️ NOT COVERED AT ALL: `ConstDef` preset definitions, which is where most consts are actually DEFINED — `presetdiff.py` reads those. `const.X =` here is the Lua-side assignment only.
name	kind107	kind110	file107	line107	file110	line110	status
ActiveLaws	GameVar	GameVar	Lua/Factions/Legislature.lua	1	Lua/Factions/Legislature.lua	1	same
AdvanceToGameTimeLimit	GameVar	GameVar	CommonLua/Libs/Network/NetworkSync.lua	22	CommonLua/Libs/Network/NetworkSync.lua	22	same
AdvancedStirlingGeneratorHeatRadius	const	const	Lua/_GameConst.lua	70	Lua/_GameConst.lua	71	same
AlienDiggerBigID	GameVar	GameVar	Lua/Mysteries/Diggers.lua	348	Lua/Mysteries/Diggers.lua	348	same
AlienDiggerID	GameVar	GameVar	Lua/Mysteries/Diggers.lua	26	Lua/Mysteries/Diggers.lua	26	same
AmbienceDefaultVolume	const	const	Lua/Config/sound.lua	59	Lua/Config/sound.lua	59	same
AmbienceMaxVolume	const	const	Lua/Config/sound.lua	58	Lua/Config/sound.lua	58	same
AmbientSoundsEnabled	GameVar	GameVar	CommonLua/SoundSource.lua	10	CommonLua/SoundSource.lua	10	same
AncientArtifactGlobalUpgrade	GameVar	GameVar	Lua/Buildings/AncientArtifactInterface.lua	101	Lua/Buildings/AncientArtifactInterface.lua	100	same
AnimMomentsToolObjDistToNearPlane	const	const	CommonLua/Core/const.lua	124	CommonLua/Core/const.lua	124	same
AnimalThreadsStarted	GameVar	GameVar	Lua/Units/Animals.lua	318	Lua/Units/Animals.lua	317	same
AnomalyUnlockTechCountWeights		const			Lua/Buildings/Anomaly.lua	373	added
ApplicantsWeights	const	const	Lua/_GameConst.lua	388	Lua/_GameConst.lua	413	same
AppliedSavegameFixups	GameVar	GameVar	CommonLua/SavegameFixup.lua	10	CommonLua/SavegameFixup.lua	10	same
AsteroidsNeverLeave107	GameVar	GameVar	Lua/Asteroids.lua	1	Lua/Asteroids.lua	1	same
AtmosphereDecayThread	GameVar	GameVar	Lua/Terraforming.lua	417	Lua/Terraforming.lua	424	same
AutosavePeriod	const	const	Lua/Savegame.lua	1	Lua/Savegame.lua	1	same
AxisConusHeight	const	const	CommonLua/Core/const.lua	271	CommonLua/Core/const.lua	271	same
AxisConusRadius	const	const	CommonLua/Core/const.lua	270	CommonLua/Core/const.lua	270	same
AxisConusSlices	const	const	CommonLua/Core/const.lua	272	CommonLua/Core/const.lua	272	same
AxisCylinderHeight	const	const	CommonLua/Core/const.lua	267	CommonLua/Core/const.lua	267	same
AxisCylinderRadius	const	const	CommonLua/Core/const.lua	266	CommonLua/Core/const.lua	266	same
AxisCylinderSlices	const	const	CommonLua/Core/const.lua	268	CommonLua/Core/const.lua	268	same
AxisLength	const	const	CommonLua/Core/const.lua	301	CommonLua/Core/const.lua	301	same
AxisRadius	const	const	CommonLua/Core/const.lua	300	CommonLua/Core/const.lua	300	same
AxisSlices	const	const	CommonLua/Core/const.lua	302	CommonLua/Core/const.lua	302	same
BehaviorAreaUpdate	MapVar	MapVar	CommonLua/FXSource.lua	6	CommonLua/FXSource.lua	6	same
BehaviorLabels	MapVar	MapVar	CommonLua/FXSource.lua	4	CommonLua/FXSource.lua	4	same
BehaviorLabelsUpdate	MapVar	MapVar	CommonLua/FXSource.lua	5	CommonLua/FXSource.lua	5	same
BigTorusColor	const	const	CommonLua/Core/const.lua	315	CommonLua/Core/const.lua	315	same
BigTorusColorSelected	const	const	CommonLua/Core/const.lua	316	CommonLua/Core/const.lua	316	same
BigTorusRadius	const	const	CommonLua/Core/const.lua	321	CommonLua/Core/const.lua	321	same
BigTorusRadius2	const	const	CommonLua/Core/const.lua	322	CommonLua/Core/const.lua	322	same
BigTorusRings	const	const	CommonLua/Core/const.lua	323	CommonLua/Core/const.lua	323	same
