# 02 triage tags (vanillahunt link 02, smr-bugfixpack-b6, 2026-09-10) — working copy of 01's CALLERS.tsv; ⛔ 01's file is untouched, this file is the parent's; regenerate from the parent's scratch scripts, never hand-edit rows.
# treediff.py v1.2 (2026-09-10, indented orphans covered; NOROWS) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# CALLERS: class (b′). Every call site, in BOTH trees, of every `sig` or `body+sig` function in a `hand` file (290 callees).
# ⭐⭐ READ THIS FIRST: **a `same` call line against a CHANGED SIGNATURE is the F117 shape, and it is the single highest-yield row class in this chain.** The callee's contract moved; this call site's text did not. F117 is exactly that, and the developers wrote it themselves. status counts: changed=682 gone=331 new=618 same=2465
# `same`-against-changed-signature by file, top 12: Lua/Buildings/StorageDepot.lua=39 | CommonLua/Ged/GedPropEditors.lua=38 | Lua/Mysteries/Fireflies.lua=34 | Lua/Buildings/Building.lua=31 | Lua/Construction/Construction.lua=30 | CommonLua/Ged.lua=29 | Lua/Mysteries/MirrorSphere.lua=28 | CommonLua/Ged/GedPanel.lua=26 | Lua/UniversalRocket.lua=25 | Lua/Mysteries/Crystals.lua=25 | Lua/Buildings/RocketBase.lua=22 | Lua/Meteors.lua=22
# ⛔ TEXT-LEVEL, AND THAT IS THE WHOLE BOUND. Matching is `Name(`, `:Name(`, `.Name(` by text on the bare name, so it CANNOT see a dynamic dispatch (`self[name]`, a preset's `func` field, `Msg` handlers — chain blind spot 7), it cannot tell two classes' same-named methods apart, and it counts a mention inside a string or a comment. ⛔ IT DOES NOT BOUND REACH.
# PAIRING RULE, stated because it is an assumption: within one file, the k-th call site of a name in 1.0.7 is paired with the k-th in 1.1.0. Equal text => `same`, different => `changed`, unpaired => `new`/`gone`. If call sites were REORDERED inside a file, that pairing mislabels — read the line, not the label.
# 02 UNIT D (the b′ pass): every `same` row carries verdict F117-SHAPE | benign | unsure + one sentence. Method: signature shape per callee (appended / trailing-removed / renamed / inserted / to-varargs / varargs-named / other), a CALL-FORM homonym test (a bare `Name(` cannot reach a method callee; `x:Name(` cannot reach a global), the caller path (hand / generated / tooling-by-path), and for appended parameters whether the 1.1.0 callee body indexes the new parameter unguarded (measured: none does). Meaning-changed slots were read in the callee body (tri_dcheck). ⛔ Text-level caller table: a benign verdict bounds nothing about dynamic dispatch (chain blind spot 7). F117-SHAPE rows are CANDIDATES, TAKEABLE WHEN the owning link reads the caller's body — not C entries.
# 02 COLUMNS: cid = C + 1-based data-row index of CALLERS.tsv; verdict, why, caller_system, caller_link (03 when the CALLEE row is dlc-adjacent), homonym, caller_path. Rows whose status is not `same` carry no verdict (not in unit D).
cid	callee_file	callee_function	name	call_file	call_line107	call_line110	status	call_text	verdict	why	caller_system	caller_link	homonym	caller_path
C00001	CommonLua/Features/LockablePreset.lua	AddAllPresetsLockStateReason	AddAllPresetsLockStateReason	CommonLua/Features/LockablePreset.lua	628	728	changed	AddAllPresetsLockStateReason(BuildingCompositeDef, "enabled", false, nil, owner)						
C00002	Lua/Buildings/CaveInRubble.lua	AddAreaRubble	AddAreaRubble	Lua/Buildings/CaveInRubble.lua	113	122	changed	rubble = AddAreaRubble(map, pos, angle)						
C00003	Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Building.lua		3795	new	station:AddNearbyBuildingsToLabels(nil, bld) -- let the station decide the connections instead of duplicating logic						
C00004	Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua	126	130	same	self:AddNearbyBuildingsToLabels()	benign	benign BY SHAPE: appended trailing unlink,trigger_bld; this call passes 0, so they arrive nil and the caller keeps the pre-1.1.0 behaviour (body: unlink passed-on, trigger_bld passed-on) — whether this caller NEEDED the new behaviour is not read here	trains	04-A		hand
C00005	Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua		269	new	self:AddNearbyBuildingsToLabels("unlink")						
C00006	Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua		1473	new	station:AddNearbyBuildingsToLabels()						
C00007	Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/UniversalRocket.lua		3983	new	station:AddNearbyBuildingsToLabels()						
C00008	CommonLua/Classes/PassTypeObj.lua	AddPassTypeMaxRadius	AddPassTypeMaxRadius	CommonLua/Classes/PassTypeObj.lua	91	54	changed	return AddPassTypeMaxRadius(obj, radius)						
C00009	CommonLua/Classes/PassTypeObj.lua	AddPassTypeMaxRadius	AddPassTypeMaxRadius	CommonLua/Classes/PassTypeObj.lua	236	212	changed	AddPassTypeMaxRadius(map, radius)						
C00010	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	96	170	changed	AddPresetLockStateReason(preset, "hidden", "ShowPrerequisites", nil, owner)						
C00011	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	102	176	changed	AddPresetLockStateReason(preset, "locked", "UnlockPrerequisites", locked_text or preset.UnlockPrerequisitesLockedText, owner)						
C00012	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	281	331	changed	AddPresetLockStateReason(class, state, reason, locked_text, owner) -- will add the reason for the Default/"" preset id						
C00013	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	362	410	changed	AddPresetLockStateReason(preset, preset.LockState, false, preset.LockedText or false, owner)						
C00014	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	512	599	changed	AddPresetLockStateReason(def, lock_state, reason, text, owner)						
C00015	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/Resources.lua		585	new	AddPresetLockStateReason(res, "hidden", false, false)						
C00016	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/Resources.lua		608	new	AddPresetLockStateReason(res, "hidden", false, false)						
C00017	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/TutorialsNew.lua		944	new	AddPresetLockStateReason(tech, "locked", "TutorialLock", lock_text, player)						
C00018	CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/_fixup.lua		2534	new	AddPresetLockStateReason(tech, "locked", "UnlockPrerequisites", nil, player)						
C00019	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/Building.lua	3451	3642	changed	obj:AddResourceAmount(-amount, "Fuel", true)						
C00020	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/BuildingComponents.lua	771	963	changed	pile:AddResourceAmount(added, pile.resource)						
C00021	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/MixedPoolStockpile.lua		226	new	self:AddResourceAmount(-frac, resource)						
C00022	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/RecipeProductionBuilding.lua		1000	new	new_pile:AddResourceAmount(amt, res, false)						
C00023	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/ResourceStockpile.lua	483	493	changed	self:AddResourceAmount(amount, resource, notify_parents)						
C00024	Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/ResourceStockpile.lua	516	531	changed	self:AddResourceAmount(amount_to_add, self.resource)						
