"id"	"group"	"icon"	"obsolete"	"description"
"AccumulatorDurability"	"Hi-Tech_1"	"UI/Icons/Research/self_sustaining_accumulators.png"	"False"	"610613631058, --[[Tech AccumulatorDurability Description]] ""<em>Power Accumulator</em> Upgrade (<em>Hermetic Sealing</em>) - <em>Power Accumulators</em> require 50% less <em>Polymers</em> for maintenance. Costs <res_icon('PreciousMinerals')>"""
"AtomicAccumulator"	"Hi-Tech_1"	"UI/Icons/Research/atomic_accumulator.png"	"False"	"6451, --[[Tech AtomicAccumulator Description]] ""New Building: <em>Atomic Accumulator</em> (<buildinginfo('AtomicBattery')>) - Stores electrical <em>Power</em>. Has huge capacity but charges slowly."""
"MicroManufacturing"	"Hi-Tech_1"	"UI/Icons/Research/micro_manufacturing.png"	"False"	"8638, --[[Tech MicroManufacturing Description]] ""New Building: <em>Electronics Factory</em> (<buildinginfo('ElectronicsFactory')>) - Produces <em>Electronics</em> from <em>Rare Metals</em>."""
"MineralApplications_MineralTreatments"	"Hi-Tech_1"	"UI/Icons/Research/mineral_treatments.png"	"False"	"239852273046, --[[Tech MineralApplications_MineralTreatments Description]] ""<em>Infirmary</em> and <em>Medical Post</em> Upgrade (<em>Exotic Mineral Treatment</em>) - <em>Health</em> and <em>Sanity</em> recovery increased by <param2>. Costs <res_icon('PreciousMinerals')>"""
"StirlingGenerator"	"Hi-Tech_1"	"UI/Icons/Research/stirling_generator.png"	"False"	"6450, --[[Tech StirlingGenerator Description]] ""New Building: <em>Stirling Generator</em> (<buildinginfo('StirlingGenerator')>) - Generates <em>Power</em>. While closed the Generator is protected from dust, but produces less <em>Power</em>."""
"FusionAutoregulation"	"Hi_tech_2"	"UI/Icons/Research/fusion_autoregulation.png"	"False"	"6473, --[[Tech FusionAutoregulation Description]] ""<em>Fusion Reactor</em> Upgrade (<em>Auto-regulator</em>) - reduces the amount of workers."""
"MartianInstituteOfScience"	"Hi_tech_2"	"UI/Icons/Research/martian_institute_of_science.png"	"False"	"6503, --[[Tech MartianInstituteOfScience Description]] ""New Building: <em>Hawking Institute</em> (<buildinginfo('ScienceInstitute')>) - Generates <em>Research</em> faster than a <em>Research Lab</em>."""
"NuclearFusion"	"Hi_tech_2"	"UI/Icons/Research/nuclear_fusion.png"	"False"	"6467, --[[Tech NuclearFusion Description]] ""New Building: <em>Fusion Reactor</em> (<buildinginfo('FusionReactor')>) - Generates <em>Power</em>. Out-Dome building which requires Workers to operate."""
"ResearchAmplification"	"Hi_tech_2"	"UI/Icons/Research/research_amplification.png"	"False"	"10514, --[[Tech ResearchAmplification Description]] ""<if(is_sponsor('ESA'))><em>Low-G Lab</em>, </if><em>Research Lab</em>, <em>Hawking Institute</em> & <em>Network Node</em> Upgrade (<em>Amplify</em>) - Increases <em>Research</em> production by <percent(param1)> but also increases <em>Power</em> consumption."""
"TheMartianNetwork"	"Hi_tech_2"	"UI/Icons/Research/the_martian_network.png"	"False"	"6433, --[[Tech TheMartianNetwork Description]] ""New Spire Building: <em>Network Node</em> (<buildinginfo('NetworkNode')>) - increases the <em>Research</em> output of all <em>Research Labs</em> and <em>Hawking Institutes</em> in the Dome.\n\n<em>Hospital</em> Upgrade (<em>Remote Medic</em>) - decreases the total work slots."""
"TriboelectricScrubbing"	"Hi_tech_2"	"UI/Icons/Research/triboelectric_scrubbing.png"	"False"	"6469, --[[Tech TriboelectricScrubbing Description]] ""New Building: <em>Triboelectric Scrubber</em> (<buildinginfo('TriboelectricScrubber')>) - Emits pulses which reduce the Dust accumulated on buildings in its range."""
"BatteryCapacity"	"Hi_tech_3"	"UI/Icons/Research/high_density_cell_architecture.png"	"False"	"849079499336, --[[Tech BatteryCapacity Description]] ""Increases the total capacity of all Batteries by <percent(capacity)>."""
"CableDurability"	"Hi_tech_3"	"UI/Icons/Research/reinforced_cabling.png"	"False"	"237944994257, --[[Tech CableDurability Description]] ""<em>Power cables</em> malfunction <percent(abs(dur))> less often."""
"ChargeSpeed"	"Hi_tech_3"	"UI/Icons/Research/rapid_charge_protocols.png"	"False"	"165814756209, --[[Tech ChargeSpeed Description]] ""Increases the charge speed of all Batteries by <percent(speed)>."""
"EternalHalfLife"	"Hi_tech_3"	"UI/Icons/Research/eternal_half_life.png"	"False"	"263817459203, --[[Tech EternalHalfLife Description]] ""<em>Atomic Accumulator</em> Upgrade (<em>Reinforced Containment</em>) - <em>Atomic Accumulators</em> require 50% less <em>Polymers</em> for maintenance. Costs <res_icon('PreciousMinerals')>"""
"EnhancedTopographicalExploitation"	"Hi_tech_4"	"UI/Icons/Research/enhanced_topographical_exploitation.png"	"False"	"234115472898, --[[Tech EnhancedTopographicalExploitation Description]] ""<em>Wind Turbines</em> - Elevation bonus to power output increased by <percent(bonus)>."""
"MarsProofTurbines"	"Hi_tech_4"	"UI/Icons/Research/mars_proof_turbines.png"	"False"	"609742023764, --[[Tech MarsProofTurbines Description]] ""<em>Wind Turbines</em> Upgrade (<em>Gale-Resistant Frame</em>) - <em>Wind Turbines</em> require 50% less <em>Machine Parts</em> for maintenance. Costs <res_icon('PreciousMinerals')>"""
"ShroudedWindTurbine"	"Hi_tech_4"	"UI/Icons/Research/shrouded_wind_turbines.png"	"False"	"445069635047, --[[Tech ShroudedWindTurbine Description]] ""New Building: <em>Shrouded Wind Turbine</em> (<buildinginfo('WindTurbine_Diffuser')>) - Generates more base <em>Power</em> than standard <em>Wind Turbines</em> and receives a higher bonus from elevation."""
"WindEnergyInitiative"	"Hi_tech_4"	"UI/Icons/Research/power_of_the_wind.png"	"False"	"709733278348, --[[Tech WindEnergyInitiative Description]] ""Have <turbines>+ <em>Wind Turbines</em> of any kind"""
"WindStoreEnergy"	"Hi_tech_4"	"UI/Icons/Research/oboard_power_buffering.png"	"True"	""
"MarsProofSolar"	"Hi_tech_5"	"UI/Icons/Research/mars_proof_solar_panels.png"	"False"	"591007132239, --[[Tech MarsProofSolar Description]] ""<em>Solar Panels</em> Upgrade (<em>Regolithic Coating</em>) - <em>Solar Panels</em> require 50% less <em>Metals</em> for maintenance. Costs <res_icon('PreciousMinerals')>"""
"MineralApplications"	"Hi_tech_5"	"UI/Icons/Research/Mineral_Applications.png"	"False"	"345452316870, --[[Tech MineralApplications Description]] ""<em>Solar Panel</em> Upgrade (<em>Improved Photovoltaics</em>) - Power production increased by <percent(param1)>. Costs <res_icon('PreciousMinerals')>"""
