# Link 03 close-out snapshot 2026-09-10; read attestations, not automated clearance.
surface	key	file	subject	span107	span110	original_link	owner	read_status	reader	fr	evidence
INVENTORY	R00312	CommonLua/Classes/ClassDefs/ClassDef-PresetDefs.generated.lua	LootDefEntry.TestConditions	1352-1363		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R00597	CommonLua/Classes/LootDef.lua	LootDefEntry.TestConditions		291-302	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R00852	CommonLua/Classes/ModItem.lua	ModItemChangeProp.GetAffectedResources	1991-2012		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R00925	CommonLua/Classes/ModItem.lua	ModItemPreset.GetAffectedResources	519-532		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R00956	CommonLua/Classes/ModItem.lua	ModResourcePreset.CheckForConflict	566-568		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R00957	CommonLua/Classes/ModItem.lua	ModResourcePreset.GetResourceTextDescription	570-572		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02349	CommonLua/Libs/Paradox/Classes/XDef/ParadoxAccountLogIn.generated.lua	ParadoxAccountLogIn.Init	19-527	20-528	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02350	CommonLua/Libs/Paradox/Classes/XDef/ParadoxAccountSignUp.generated.lua	ParadoxAccountSignUp.Init	19-760	20-761	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02391	CommonLua/Libs/Resources/ClassDefs/ClassDef-Resources.generated.lua	Resource.GatherAutomaticTags		192-194	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02392	CommonLua/Libs/Resources/ClassDefs/ClassDef-Resources.generated.lua	Resource.GetAutomaticTags	187-189		03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02393	CommonLua/Libs/Resources/ClassDefs/ClassDef-Resources.generated.lua	Resource.OnLockStateChanged	197-200	202-205	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02394	CommonLua/Libs/Resources/ClassDefs/ClassDef-Resources.generated.lua	no_edit@59d650	151-219	155-216	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02405	CommonLua/Libs/Resources/Resources.lua	PreProcessResources	396-469	404-483	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02406	CommonLua/Libs/Resources/Resources.lua	PreProcessSortResourceIds	381-394	385-402	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02408	CommonLua/Libs/Resources/Resources.lua	ResourceCmp	350-357	351-364	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02820	CommonLua/Modding/ModItem.lua	ModItemChangeProp.GetAffectedResources		2034-2055	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02892	CommonLua/Modding/ModItem.lua	ModItemPreset.GetAffectedResources		504-517	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02921	CommonLua/Modding/ModItem.lua	ModResourcePreset.CheckForConflict		622-624	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R02922	CommonLua/Modding/ModItem.lua	ModResourcePreset.GetResourceTextDescription		626-628	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R03236	CommonLua/SavegameMetadata.lua	ValidateSaveMetadata	117-163	122-189	03	03d	pending			SEAM_REPORT.md#remaining
INVENTORY	R03700	Data/BuildingTemplate/FungalFarm_Asteroid.lua	Value@1a66e7	14-14		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03701	Data/BuildingTemplate/FungalFarm_Asteroid.lua	eval@1a66e7	10-12		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03711	Data/Challenge.lua	Run@71e825#12	795-806		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03720	Data/Challenge.lua	TickProgress@71e825#6	327-336	172-181	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03794	Data/CheatDef.lua	run@337c67#62		748-764	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03801	Data/CheatDef.lua	run@337c67#69		854-864	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03806	Data/CheatDef.lua	run@337c67#73		902-910	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03807	Data/CheatDef.lua	run@337c67#74		919-929	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03836	Data/ClassDef-Conditions.lua	DefGetEditorView@545d4c#10	3310-3312		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03840	Data/ClassDef-Conditions.lua	DefGetEditorView@545d4c#5	3183-3185		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03843	Data/ClassDef-Conditions.lua	DefGetEditorView@545d4c#8	3244-3246		03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03850	Data/ClassDef-PresetDefs.lua	has_allowed_version@2fd553		2996-3008	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03853	Data/Event/ClosedLoopDome.lua	eval@67b385#2		38-44	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03856	Data/Event/ClosedLoopDome_FollowUp.lua	eval@67b385#2		19-22	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03875	Data/FactionDef/China.lua	eval@1e46ea#10	229-231	229-231	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03876	Data/FactionDef/China.lua	eval@1e46ea#11		247-249	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03883	Data/FactionDef/China.lua	eval@1e46ea#6	151-153	153-155	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03884	Data/FactionDef/China.lua	eval@1e46ea#7	161-163	175-177	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03886	Data/FactionDef/China.lua	eval@1e46ea#9	219-221	206-208	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03887	Data/FactionDef/ChurchOfTheNewArk.lua	eval@1e46ea#10	232-234	253-255	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03888	Data/FactionDef/ChurchOfTheNewArk.lua	eval@1e46ea#11	261-263	275-277	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03892	Data/FactionDef/ChurchOfTheNewArk.lua	eval@1e46ea#15	339-341	331-333	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03925	Data/FactionDef/GreenMarsCoalition.lua	eval@1e46ea#22	462-464	441-443	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03926	Data/FactionDef/GreenMarsCoalition.lua	eval@1e46ea#23	488-490	459-461	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03937	Data/FactionDef/GreenNOW.lua	eval@1e46ea#20		420-422	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03941	Data/FactionDef/HeritageTrust.lua	eval@1e46ea#1	49-51	51-53	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03943	Data/FactionDef/HeritageTrust.lua	eval@1e46ea#11	214-216	228-230	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03944	Data/FactionDef/HeritageTrust.lua	eval@1e46ea#12	229-231	238-240	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03951	Data/FactionDef/HeritageTrust.lua	eval@1e46ea#2	68-70	69-71	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03996	Data/FactionDef/LastTransmission.lua	eval@1e46ea#26		463-465	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03997	Data/FactionDef/LastTransmission.lua	eval@1e46ea#28		503-505	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03998	Data/FactionDef/LastTransmission.lua	eval@1e46ea#29		528-530	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R03999	Data/FactionDef/LastTransmission.lua	eval@1e46ea#30		551-553	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04000	Data/FactionDef/LastTransmission.lua	eval@1e46ea#31		569-571	03	03b	pending			SEAM_REPORT.md#remaining
INVENTORY	R04001	Data/FactionDef/LastTransmission.lua	eval@1e46ea#32		586-588	03	03b	pending			SEAM_REPORT.md#remaining
