id	group	MapPos	SortKey	LockState	Unknown	Obsolete	Condition	Comment	TODO	connections	line
3DMachining	Industry_4	point(9100, 3072)								FueledExtractors;DeepWaterExtraction;DronePrinting	4311
AccumulatorDurability	Hi-Tech_1	point(7620, 3072)							"set( ""Test"" )"	StirlingGenerator;MicroManufacturing;MoistureFarming	2710
AdaptedProbes	Space_1	point(8730, 4992)								ReconCenter;PlanetarySurvey	8196
AdaptedVegetation	Terraforming_2	point(6066, 2944)								TerraformingAmplification;GreenView	10000
AdaptiveExtractionProtocols	Industry_3	point(8286, 2944)							"set( ""Review"" )"	EnergyRecoverySystems;AutomatedStorage;MineralApplications_MineralTreatments	3991
AdvancedDroneDrive	Breakthroughs	point(14428, 3584)		hidden	true						381
AdvancedGravityManeuvers	Space_3	point(8360, 5632)								OrbitalEngineering;OptimizedTrajectories	8654
AdvancedMartianEngines	Space_1	point(8952, 4864)								CO2JetPropulsion;ReconCenter;CompactPassengerModule	8222
AdvancedMicroGMiningOperations	Space_2	point(9026, 5504)								AdvancedPassengerModule;MicroGMining;MeteorDefenseSystem	8401
AdvancedPassengerModule	Space_2	point(9100, 5632)								ExtendedCargoModules;AdvancedMicroGMiningOperations;DeepSpaceScanning	8428
AlienDiggersDestruction	Mysteries	point(3994, 4736)		hidden	true					AlienDiggersDestruction_3	6068
AlienDiggersDestruction_1	Mysteries	point(3698, 5248)		hidden	true					AlienDiggersDestruction_2	6087
AlienDiggersDestruction_2	Mysteries	point(3772, 5120)		hidden	true					AlienDiggersDestruction_1;AlienDiggersDestruction_3	6104
AlienDiggersDestruction_3	Mysteries	point(3846, 4992)		hidden	true					AlienDiggersDestruction_2;AlienDiggersDestruction	6124
AlienDiggersDetection	Mysteries	point(2810, 5504)		hidden	true					AlienDiggersDetection_2	6144
AlienDiggersDetection_1	Mysteries	point(3254, 5504)		hidden	true					AlienDiggersDetection_2	6163
AlienDiggersDetection_2	Mysteries	point(3106, 5504)		hidden	true					AlienDiggersDetection_1;AlienDiggersDetection	6180
AlienImprints	Breakthroughs	point(13984, 3584)		hidden	true						406
AnalogControlSystems	ProjectMohole	point(8138, 2432)							"set( ""Review"" )"	MantleFiltrationSystems;GeostructuralEfficiencyModeling	7334
AncientArtifactAdaptedMachine	Mysteries	point(3106, 4736)		hidden	true					AncientArtifactAdaptedMachine_3	6200
AncientArtifactAdaptedMachine_1	Mysteries	point(3402, 5248)		hidden	true					AncientArtifactAdaptedMachine_2	6225
AncientArtifactAdaptedMachine_2	Mysteries	point(3328, 5120)		hidden	true					AncientArtifactAdaptedMachine_1;AncientArtifactAdaptedMachine_3	6242
AncientArtifactAdaptedMachine_3	Mysteries	point(3254, 4992)		hidden	true					AncientArtifactAdaptedMachine_2;AncientArtifactAdaptedMachine	6262
AncientTerraformingDevice	Breakthroughs	point(13984, 2816)		hidden	true		"function (self) return not IsGameRuleActive(""NoTerraforming"") end"				434
AnomalousGenomeResequencing	Storybits	point(15242, 384)		hidden	true						8929
Anti-Sphere Shield	Mysteries	point(3846, 5504)		hidden	true						6282
Arcology	Habitation_3	point(6362, 4224)								GravityEngineering;DomeBioscaping	2612
ArtificialMuscles	Breakthroughs	point(13540, 2304)		hidden	true						464
AtmosphericCompressionSystems	Sustainability_3	point(7250, 2944)							"set( ""Review"" )"	MicroManufacturing;DustHardenedVaporators	9706
AtomicAccumulator	Hi-Tech_1	point(7620, 2816)								NuclearFusion;MicroManufacturing	2736
AutomatedStorage	Industry_3	point(8360, 2816)								AdaptiveExtractionProtocols;PredictiveMaintenance;GeostructuralEfficiencyModeling	4037
AutonomousHubs	Breakthroughs	point(12874, 2432)		hidden	true						482
AutonomousSensors	Land	point(8286, 4480)								FuelCompression;SoilAdaptation;MarsHype;LandOnMars	4705
BatteryCapacity	Hi_tech_3	point(7102, 1920)							"set( ""Review"" )"	CableDurability;ResearchAmplification	3001
BatteryOptimization	Logistics_1	point(9248, 4096)								TrainStations;DroneHub;DeepScanning	4976
BehavioralMelding	Society_4	point(6658, 5504)								StemReconstruction;DreamReality;HolographicScanning	8018
BehavioralShaping	Society_4	point(7102, 5248)								StemReconstruction;HumanAlteration;RejuvenationTreatment	8042
BigStations	Logistics_2	point(9766, 4224)								FasterTrains;DroneHub;RoverCommandAI	5173
BiomeEngineering	Society_1	point(7990, 4736)								MartianPatents;MarsHype;InsidePasture	7550
BlackCubesDisposal	Mysteries	point(3846, 5504)		hidden	true						6295
BlackCubesNegation	Mysteries	point(3994, 5504)		hidden	true						6325
BottomlessPitResearchCenter	Mysteries	point(3106, 6272)		hidden	true					BottomlessPitResearchCenter_3	6343
BottomlessPitResearchCenter_1	Mysteries	point(3402, 5760)		hidden	true					BottomlessPitResearchCenter_2	6374
