old_group	old_position	new_group	new_Obsolete	count
Biotech	range(1, 5)	Land		1
Biotech	range(1, 5)	Sustainability_1		2
Biotech	range(1, 5)	Sustainability_2		1
Biotech	range(1, 5)	Underground_1		1
Biotech	range(11, 11)	Habitation_2		1
Biotech	range(12, 19)	Society_2		1
Biotech	range(12, 19)	Society_4		3
Biotech	range(12, 19)	Sustainability_2		3
Biotech	range(20, 20)	Habitation_3		1
Biotech	range(6, 6)	Habitation_1		1
Biotech	range(6, 6)	Underground_1		1
Biotech	range(7, 10)	Habitation_2		1
Biotech	range(7, 10)	Habitation_3		1
Biotech	range(7, 10)	Pride		1
Biotech	range(7, 10)	Society_1		1
Breakthroughs		Breakthroughs		65
BuriedWonders		Mysteries		6
Engineering	range(1, 5)	Habitation_1		1
Engineering	range(1, 5)	Industry_1	true	1
Engineering	range(1, 5)	Industry_2		1
Engineering	range(1, 5)	Land		1
Engineering	range(1, 5)	Space_1		1
Engineering	range(13, 13)	Habitation_3		1
Engineering	range(14, 19)	Habitation_3		1
Engineering	range(14, 19)	Industry_1		1
Engineering	range(14, 19)	Industry_4		2
Engineering	range(14, 19)	Industry_5		1
Engineering	range(14, 19)	Space_2		1
Engineering	range(20, 20)	Space_3		1
Engineering	range(6, 12)	Habitation_1		1
Engineering	range(6, 12)	Habitation_2		2
Engineering	range(6, 12)	Hi-Tech_1		1
Engineering	range(6, 12)	Space_1		1
Engineering	range(6, 12)	Sustainability_1		1
Engineering	range(6, 6)	Logistics_2		1
Independence		Independence		5
Mysteries		Mysteries		12
Mysteries	range(0, 2)	Mysteries		5
Physics	range(1, 5)	Industry_1		1
Physics	range(1, 5)	Land		1
Physics	range(1, 5)	Space_1		1
Physics	range(1, 5)	Sustainability_1		2
Physics	range(10, 10)	Industry_2		1
Physics	range(11, 14)	Hi_tech_2		1
Physics	range(11, 14)	Society_2		1
Physics	range(11, 18)	Hi_tech_2		2
Physics	range(11, 18)	Industry_1		1
Physics	range(11, 18)	Industry_4		1
Physics	range(11, 18)	Space_3		1
Physics	range(15, 18)	Hi_tech_2		1
Physics	range(19, 19)	Megaprojects_3		1
Physics	range(20, 20)	Space_2		1
Physics	range(6, 6)	Hi-Tech_1		1
Physics	range(6, 6)	Logistics_2		1
Physics	range(7, 9)	Hi-Tech_1		1
Physics	range(7, 9)	Industry_1		1
Physics	range(7, 9)	Sustainability_1		1
ReconAndExpansion	range(1, 1)	Logistics_1		1
ReconAndExpansion	range(10, 13)	Space_2		1
ReconAndExpansion	range(10, 13)	Space_3		1
ReconAndExpansion	range(10, 13)	Underground_1		2
ReconAndExpansion	range(14, 15)	Logistics_4		1
ReconAndExpansion	range(14, 15)	Space_2		1
ReconAndExpansion	range(16, 19)	Space_2		2
ReconAndExpansion	range(16, 19)	Underground_1		1
ReconAndExpansion	range(2, 4)	Space_2		1
ReconAndExpansion	range(2, 4)	Underground_1	true	1
ReconAndExpansion	range(20, 20)	Logistics_4		1
ReconAndExpansion	range(4, 5)	Space_1		1
ReconAndExpansion	range(4, 5)	Underground_1		1
ReconAndExpansion	range(6, 8)	Hi-Tech_1		1
ReconAndExpansion	range(6, 8)	Hi_tech_5		1
ReconAndExpansion	range(6, 8)	Hi_tech_5	true	1
ReconAndExpansion	range(6, 8)	Logistics_3		1
ReconAndExpansion	range(6, 8)	Space_2		1
ReconAndExpansion	range(9, 9)	Underground_1		1
Robotics	range(1, 4)	Land		2
Robotics	range(1, 4)	Logistics_1		1
Robotics	range(1, 4)	Logistics_4		1
Robotics	range(11, 11)	Logistics_3		1
Robotics	range(12, 14)	Industry_4		1
Robotics	range(12, 14)	Industry_5		1
Robotics	range(12, 14)	Logistics_3		1
Robotics	range(15, 15)	Industry_3		1
Robotics	range(16, 18)	Hi_tech_2		1
Robotics	range(16, 18)	Logistics_3		2
Robotics	range(19, 19)	ProjectMohole		1
Robotics	range(20, 20)	Megaprojects_1		1
Robotics	range(5, 5)	Logistics_1		1
Robotics	range(6, 10)	Industry_1		1
Robotics	range(6, 10)	Industry_3		1
Robotics	range(6, 10)	Industry_4		1
Robotics	range(6, 10)	Logistics_1		1
Robotics	range(6, 10)	Logistics_2		1
Robotics	range(6, 6)	Logistics_2		1
Social	range(1, 5)	Society_1		3
Social	range(1, 5)	Society_2		2
Social	range(11, 11)	Hi_tech_2		1
Social	range(12, 14)	Society_4		1
Social	range(12, 19)	Habitation_2		1
Social	range(12, 19)	Pride		4
Social	range(12, 19)	Society_2		1
Social	range(15, 19)	Society_4		1
Social	range(20, 20)	Society_4		1
Social	range(6, 6)	Logistics_2		1
Social	range(6, 6)	Society_3		1
Social	range(7, 10)	Pride		1
Social	range(7, 10)	Society_1		2
Social	range(7, 10)	Society_2		1
Storybits		Storybits		20
Terraforming		Terraforming_2		1
Terraforming	range(1, 1)	Terraforming_1		1
Terraforming	range(10, 10)	Terraforming_2		1
Terraforming	range(11, 15)	Terraforming_2		2
Terraforming	range(11, 15)	Terraforming_3		2
Terraforming	range(16, 20)	Terraforming_2		1
Terraforming	range(16, 20)	Terraforming_3		4
Terraforming	range(2, 5)	Land		1
Terraforming	range(2, 5)	Space_1		1
Terraforming	range(2, 5)	Terraforming_1		1
Terraforming	range(2, 5)	Terraforming_3		1
Terraforming	range(6, 6)	Terraforming_2		1
Terraforming	range(6, 9)	Terraforming_1		2
Terraforming	range(6, 9)	Terraforming_2		1
Terraforming	range(6, 9)	Terraforming_3		1
