# treediff.py v1.1 (2026-09-10, indented orphans covered) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python treediff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# NORMALISATION: CRLF->LF, trailing whitespace stripped per line; leading indentation KEPT; ⭐ COMMENTS ARE KEPT AND COUNT — a whitespace-only diff is NOT a row, a changed comment IS a row.
# DELIMITER: luafn.find_bodies, imported not re-implemented. Keys collapse `Class:Method` and `Class.Method`; the separator actually written is the first character of the sig columns.
# COVERAGE (v1.1): indent-0 declarations, five forms (function C:M / function C.M / function G / local function f / [local] x = function), PLUS every INDENTED declaration of those forms that lies OUTSIDE every enumerated span — table-field methods, sequence `Run = function(seq_state)` steps, file-level nested locals — keyed `name@<anchor>` and flagged INDENTED (ONE-LINE when the declaration closes itself: that row hashes its own line only, deliberately, so a neighbour's edit cannot re-hash it; the indent-0 pass keeps the delimiter's over-span untouched, checklist 135). Indented declarations INSIDE an enumerated span are covered by the outer body's hash and not listed. Orphans on the 1.1.0 side: 1050 in `hand` files, 1885 in `generated` (613 one-line); 1377 identical across the trees, 1910 rows. Total indented declarations for comparison: 8473 (4883 hand, 3590 generated). STILL NOT COVERED: every anonymous `function(` literal passed as an argument. ⛔ A function never emitted is not a function that did not change.
# FILES: changed=2437 identical=1963 added=166 removed=36 (DLC/ excluded: 151 paths). ⭐ MANIFEST RE-DERIVATION CONTROL vs chain README §0 (which counts DLC): 2437+7=2444 changed, 1963+5=1968 identical, 166+139=305 added, 36+0=36 removed — MATCHES; the 139 DLC adds are 138 `DLC/norman` + 1 `DLC/thomas`.
# FPK PARITY (EF-085, measured 2026-09-10): every `Lua/`, `CommonLua/` and `Data/` file in the archived 1.1.0 Src ships BYTE-IDENTICAL in Packs\Lua.fpk / Packs\Data.fpk — 0 divergent. ⇒ NO ROW CARRIES `FPK-DIVERGENT`, because there is nothing to flag. ⛔ That proves the bytes match, not that the game executes them (EF-078 stands).
# FUNCTIONS: 1.0.7=27762 1.1.0=30355 | IDENTICAL (counted, not listed)=23516 | SPAN-SUSPECT=441 declarations (the one-line-function trap, MEASURED — see the tool header; ⛔ NOT fixed here, a delimiter change re-hashes every SRC: pin in Code/) | MULTI=474 declarations | spans reaching EOF=567
# RENAME? is a HINT, never a verdict, and it is GUARDED: a partner needs >=4 distinct non-blank body lines and <=3 candidates. Rejected as too trivial to be evidence: 706 added rows (bodies like `end` or `return true`); rejected as ambiguous (one body, many partners): 0. Those are NOT `no match` — they are `too generic to say`.
# CALLERS: class (b′). Every call site, in BOTH trees, of every `sig` or `body+sig` function in a `hand` file (290 callees).
# ⭐⭐ READ THIS FIRST: **a `same` call line against a CHANGED SIGNATURE is the F117 shape, and it is the single highest-yield row class in this chain.** The callee's contract moved; this call site's text did not. F117 is exactly that, and the developers wrote it themselves. status counts: changed=682 gone=331 new=618 same=2465
# `same`-against-changed-signature by file, top 12: Lua/Buildings/StorageDepot.lua=39 | CommonLua/Ged/GedPropEditors.lua=38 | Lua/Mysteries/Fireflies.lua=34 | Lua/Buildings/Building.lua=31 | Lua/Construction/Construction.lua=30 | CommonLua/Ged.lua=29 | Lua/Mysteries/MirrorSphere.lua=28 | CommonLua/Ged/GedPanel.lua=26 | Lua/UniversalRocket.lua=25 | Lua/Mysteries/Crystals.lua=25 | Lua/Buildings/RocketBase.lua=22 | Lua/Meteors.lua=22
# ⛔ TEXT-LEVEL, AND THAT IS THE WHOLE BOUND. Matching is `Name(`, `:Name(`, `.Name(` by text on the bare name, so it CANNOT see a dynamic dispatch (`self[name]`, a preset's `func` field, `Msg` handlers — chain blind spot 7), it cannot tell two classes' same-named methods apart, and it counts a mention inside a string or a comment. ⛔ IT DOES NOT BOUND REACH.
# PAIRING RULE, stated because it is an assumption: within one file, the k-th call site of a name in 1.0.7 is paired with the k-th in 1.1.0. Equal text => `same`, different => `changed`, unpaired => `new`/`gone`. If call sites were REORDERED inside a file, that pairing mislabels — read the line, not the label.
callee_file	callee_function	name	call_file	call_line107	call_line110	status	call_text
CommonLua/Features/LockablePreset.lua	AddAllPresetsLockStateReason	AddAllPresetsLockStateReason	CommonLua/Features/LockablePreset.lua	628	728	changed	AddAllPresetsLockStateReason(BuildingCompositeDef, "enabled", false, nil, owner)
Lua/Buildings/CaveInRubble.lua	AddAreaRubble	AddAreaRubble	Lua/Buildings/CaveInRubble.lua	113	122	changed	rubble = AddAreaRubble(map, pos, angle)
Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Building.lua		3795	new	station:AddNearbyBuildingsToLabels(nil, bld) -- let the station decide the connections instead of duplicating logic
Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua	126	130	same	self:AddNearbyBuildingsToLabels()
Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua		269	new	self:AddNearbyBuildingsToLabels("unlink")
Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/Buildings/Station.lua		1473	new	station:AddNearbyBuildingsToLabels()
Lua/Buildings/Station.lua	Station.AddNearbyBuildingsToLabels	AddNearbyBuildingsToLabels	Lua/UniversalRocket.lua		3983	new	station:AddNearbyBuildingsToLabels()
CommonLua/Classes/PassTypeObj.lua	AddPassTypeMaxRadius	AddPassTypeMaxRadius	CommonLua/Classes/PassTypeObj.lua	91	54	changed	return AddPassTypeMaxRadius(obj, radius)
CommonLua/Classes/PassTypeObj.lua	AddPassTypeMaxRadius	AddPassTypeMaxRadius	CommonLua/Classes/PassTypeObj.lua	236	212	changed	AddPassTypeMaxRadius(map, radius)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	96	170	changed	AddPresetLockStateReason(preset, "hidden", "ShowPrerequisites", nil, owner)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	102	176	changed	AddPresetLockStateReason(preset, "locked", "UnlockPrerequisites", locked_text or preset.UnlockPrerequisitesLockedText, owner)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	281	331	changed	AddPresetLockStateReason(class, state, reason, locked_text, owner) -- will add the reason for the Default/"" preset id
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	362	410	changed	AddPresetLockStateReason(preset, preset.LockState, false, preset.LockedText or false, owner)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	CommonLua/Features/LockablePreset.lua	512	599	changed	AddPresetLockStateReason(def, lock_state, reason, text, owner)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/Resources.lua		585	new	AddPresetLockStateReason(res, "hidden", false, false)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/Resources.lua		608	new	AddPresetLockStateReason(res, "hidden", false, false)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/TutorialsNew.lua		944	new	AddPresetLockStateReason(tech, "locked", "TutorialLock", lock_text, player)
CommonLua/Features/LockablePreset.lua	AddPresetLockStateReason	AddPresetLockStateReason	Lua/_fixup.lua		2534	new	AddPresetLockStateReason(tech, "locked", "UnlockPrerequisites", nil, player)
Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/Building.lua	3451	3642	changed	obj:AddResourceAmount(-amount, "Fuel", true)
Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/BuildingComponents.lua	771	963	changed	pile:AddResourceAmount(added, pile.resource)
Lua/Buildings/ResourceStockpile.lua	ResourceStockpileBase.AddResourceAmount	AddResourceAmount	Lua/Buildings/MixedPoolStockpile.lua		226	new	self:AddResourceAmount(-frac, resource)
