# presetdiff.py v1 (2026-09-10) | old=C:\Dev\SMR-SrcArchive\1.0.7.396349\Src digest=09d95e3448573dc3… | new=C:\Dev\SMR-SrcArchive\1.1.0.403908\Src digest=a4577da25cb3fe85… | python presetdiff.py --out docs/agent/reports/vanillahunt | 2026-09-10
# SCOPE: the `generated` bucket only — Data/, Lua/BuildingTemplate/, Lua/XDef/, Lua/ClassDefs/. DLC/ excluded.
# PRESETS: 1.0.7=14409  1.1.0=14986. Identity is `class::id::group` (how the GAME names a preset), with id-less presets keyed `class::file#ordinal`. Matched presets whose FILE moved: 0. Ambiguous ids needing a disambiguator: 1.0.7=1 1.1.0=0.
# ⭐ ROUTED TO 02, NOT READ HERE: the tech registry exists TWICE in 1.1.0 — 264 `TechPreset` in 1.0.7 became 274 `TechPreset` PLUS 441 `Tech`, and 258 of the 1.0.7 ids appear under both classes in the new tree. Mechanical count only; what it means is a reader's question.
# ⛔ REORDER IS NOT A ROW, BY CONSTRUCTION: rows are keyed by key PATH, so re-emitting a preset's keys in another order with equal values yields nothing. 0 presets are in exactly that state — COUNTED here so that `no rows` and `never looked` do not look alike.
# ROWS BY CHURN CLASS: COMMENT=1  REINDEX=10462  REINDEX-SWAP=1924  T-ID=22  added-preset=1471  none=22738  removed-preset=894   ⭐ `none` is the READABLE PILE — the rows 04's registry agents actually read.
# ⭐ THE GENERATED-LUA TWINS, so 04 can confirm they carry nothing extra: 1.1.0 files parsed per registry — Data=2191, Lua/BuildingTemplate=292, Lua/ClassDefs=7, Lua/XDef=426 | 1.0.7 — Data=2143, Lua/BuildingTemplate=288, Lua/ClassDefs=9, Lua/XDef=400
# ⚠️ CHURN CLASSES ARE CLAIMS. Each is a rule asserting a row is uninteresting; `python tools/presetdiff.py --sample <class>` prints rows so one can be falsified. A single row where a rule hid a real value change VOIDS that class.
file	class	id	key	value107	value110	churn-class	flags
Data/Achievement.lua	Achievement	APieceOfMars	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	EarthsickColonistStays	msg_reactions[1].Handler	function ( self , colonist , status_effect , bApply , now ) if status_effect = = "StatusEffect_Earthsick" and not bApply then AchievementUnlock ( "EarthsickColonistStays" ) end end	function ( self , colonist , status_effect , bApply , now , explanation ) if status_effect = = "StatusEffect_Earthsick" and not bApply then AchievementUnlock ( "EarthsickColonistStays" ) end end	none	
Data/Achievement.lua	Achievement	FirstHarvest	msg_reactions[1].Handler	function ( self , bld , amount ) AchievementUnlock ( "FirstHarvest" ) end	function ( self , building , amount , resource ) AchievementUnlock ( "FirstHarvest" ) end	none	
Data/Achievement.lua	Achievement	GiveMeYourTired	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	Gotcha	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	Independent	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	IronFist	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	Opportunist	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	PlatinumTrophy	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	PoliticalAnimal	TODO	set("Review")	<absent>	none	
Data/Achievement.lua	Achievement	TrulyIndependent	TODO	set("Review")	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-LCoLx_X	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-ZOfJ6tS	DetailLevel	40	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-_IEMPPC	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-khkkMQw	DetailLevel	40	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-o_I3NYu	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_-o_I3NYu	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0-Y7cy-p	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0-Y7cy-p	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0HWGdl3t	Environment	"Surface"	set("Surface")	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0MvwwAUM	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0NTsHhJm	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0NTsHhJm	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0gsAtupI	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_0ldS1RUy	DetailLevel	40	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_101iwqJz	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_101iwqJz	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_18OU-IoN	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_18OU-IoN	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1IR8OgDy	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1IR8OgDy	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1K6qhxtL	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1NFfv7M1	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1jjnYVb2	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_1jjnYVb2	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	AlwaysGatherForVisibility	<absent>	true	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	AlwaysVisible	true	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	DetailLevel	60	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_23FtEmFg	Environment	"Surface"	set("Surface")	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_27jnYJc-	DetailLevel	40	<absent>	none	
Data/FXPreset/ActionFXParticles.lua	ActionFXParticles	Particles_2H8OethF	AlwaysGatherForVisibility	<absent>	true	none	
